@mungo_martin@	-person=34
@yakubik@	-person=24
@noordoostpolder@	-location=48
@tortricidae@	-living_thing=5627
@margaret_mitchell@	-person=205
@ibsen@	-person=164
@troy_matteson@	-person=20
@gene_kiniski@	-person=72
@tell_it_like_it_is@	-art=39 -broadcast_program=3
@peru_state_college@	-organization=24
@butler_township@	-location=75
@duke_of_naples@	-title=31
@so_what@	-art=115
@swaraj_party@	-organization=49
@roger_mcdonald@	-person=28
@b.s.c.@	-organization=20
@evgeny_donskoy@	-person=46
@ps3@	-product=140
@vänern@	-location=107
@optical_gravitational_lensing_experiment@	-organization=45
@rock_and_roll,_hoochie_koo@	-art=24
@nu_shooz@	-person=31
@crack_the_skye@	-art=25
@witness_for_the_prosecution@	-art=86
@jonathan_carver@	-person=22
@dawn_silva@	-person=23
@indian_institute_of_technology_madras@	-organization=55
@denzil_holles@	-person=39
@pope_john_ii@	-person=22
@secretary_of_the_state_of_connecticut@	-title=21
@mitch_allan@	-person=49
@allan_moffat@	-person=134
@bertie_mee@	-person=49
@alice_brady@	-person=71
@barry_feinstein@	-person=25
@sunn_o)))@	-person=173
@sophie_scholl_–_the_final_days@	-art=21
@trieste@	-location=2355 -product=29 -language=1 -organization=1
@northern_alliance@	-organization=147
@alfred_werner@	-person=40
@arnold_ruge@	-person=38
@ryan_hurst@	-person=46
@a_different_kind_of_truth@	-art=26
@bikini_atoll@	-location=371 -person=2 -event=1
@knuth@	-person=20
@oskar_nedbal@	-person=25
@peter_faber@	-person=35
@the_ancestor_cell@	-art=27
@jean_batten@	-person=32
@donita_sparks@	-person=30
@nicholas_ii@	-person=471
@president_of_burma@	-title=59
@damien_bodie@	-person=34
@raptor@	-location=9 -living_thing=8 -art=4 -organization=1
@putnam@	-location=328 -organization=121 -person=19 -event=4
@pampa,_texas@	-location=39
@bossiney@	-location=88
@mamoré_river@	-location=25
@fc_copenhagen@	-organization=28
@graduate_texts_in_mathematics@	-art=22
@jane_by_design@	-broadcast_program=24
@stjepan_bobek@	-person=41
@dee_murray@	-person=50
@quilpué@	-location=25
@andrew_gilligan@	-person=51
@occoquan@	-location=21
@corey_fisher@	-person=23
@westport,_connecticut@	-location=300
@dfb-pokal@	-organization=1393 -event=23
@hmong_people@	-people-ethnicity=63
@theodorus@	-person=23
@siston@	-location=42
@avery_dennison@	-organization=23
@dinaburg_fc@	-organization=23
@quantock_hills@	-location=90
@salesian_sisters_of_don_bosco@	-organization=23
@imelda_marcos@	-person=197
@couronne@	-product=23
@solon_high_school@	-organization=21
@skuse@	-person=23
@corfu@	-location=1112 -living_thing=2 -event=1
@zulia@	-location=128 -organization=3
@sophia_young@	-person=21
@343_industries@	-person=25
@2004–05_nhl_season@	-event=55
@transocean@	-organization=57
@thesmophoriazusae@	-art=28
@theodor_loos@	-person=41
@the_head_and_the_heart@	-person=43 -art=1
@harvey_penick@	-person=25
@mills_corporation@	-organization=39
@stella_damasus-aboderin@	-person=20
@mount_forest@	-location=27
@eric_fromm@	-person=25
@yari_film_group@	-organization=20
@ll.m.@	-education-educational_degree=96
@hugh_quarshie@	-person=60
@rer_line_b@	-metropolitan_transit-transit_line=35
@marco_tullio_giordana@	-person=50
@chocolate_starfish_and_the_hot_dog_flavored_water@	-art=37
@barrandov_studios@	-organization=58
@sally_dynevor@	-person=52
@ryan_walter@	-person=38
@alexander_mair@	-person=35
@boeing_767@	-product=284
@james_douglas@	-person=141
@malagasy_politician@	-location=32
@cliffside_park@	-location=24
@strensall@	-location=30
@osceola@	-location=102 -person=77 -event=1
@richard_lester@	-person=201
@rejectionist_front@	-organization=27
@royal_conservatory_of_brussels@	-organization=74
@zellig_harris@	-person=29
@shapur_ii@	-person=200
@christophe_honoré@	-person=52
@monocacy_river@	-location=67
@armando_guebuza@	-person=52
@marcello_viotti@	-person=32
@blah_blah_blah@	-art=28 -broadcast_program=8
@jerry_pinkney@	-person=23
@new_brunswick_sports_hall_of_fame@	-location=21
@ashley_monroe@	-person=50
@chambers@	-location=46 -person=23 -broadcast_program=8 -body_part=1 -organization=1
@dichomeris_marginella@	-living_thing=28
@rip_van_winkle@	-art=121
@king's_regiment_(liverpool)@	-organization=43
@radziejów_county@	-location=191
@another_state_of_mind@	-art=25
@kalahari_desert@	-location=176
@newmont_mining_corporation@	-organization=42
@matthew_kilgallon@	-person=24
@woman@	-art=67 -person=34
@brave_eagle@	-broadcast_program=28
@c_more_entertainment@	-broadcast_network=28
@do_or_die@	-art=37
@wolvercote_cemetery@	-location=20
@dundrod_circuit@	-location=20
@united_nations_economic_commission_for_africa@	-organization=60
@billy_liar@	-art=90 -person=2
@edinburgh_comedy_awards@	-award=21
@huia@	-living_thing=32 -location=2
@eli_marienthal@	-person=29
@institute_for_creation_research@	-organization=85
@coluccio_salutati@	-person=31
@new_york_state_route_78@	-location=26
@ruth_stone@	-person=20
@nijssen@	-person=83
@ny_24@	-location=39
@jamar_fletcher@	-person=22
@muenster@	-location=47 -food=3
@ivy_queen@	-person=267
@the_vow@	-art=43
@sound_horizon@	-person=26
@the_way@	-art=53 -person=8 -religion-religion=2 -organization=1
@emma_pooley@	-person=60
@folsom_lake@	-location=26
@intel@	-organization=2459 -product=2 -person=1
@joe_cuba@	-person=39
@kalkaska@	-location=50
@joseph_fourier_university@	-organization=23
@liz_ellis@	-person=25
@rayong@	-location=43
@woolhampton@	-location=35
@stuart_zender@	-person=30
@london_overground@	-transit=448
@ruhleben@	-location=30
@leopold_damrosch@	-person=24
@william_mckell@	-person=102
@side_by_side_by_sondheim@	-art=44
@jason_mcateer@	-person=38
@henry_lytton@	-person=61
@kish_island@	-location=102
@universal_music_latin_entertainment@	-organization=51
@retief_goosen@	-person=147
@ashburn,_virginia@	-location=55
@hickam_field@	-location=104
@jonathan_meades@	-person=24
@jardine_house@	-location=20
@reborn@	-art=24 -person=1
@alexander_farnese,_duke_of_parma@	-person=71
@richmond_herald@	-person=21
@david_levy@	-person=53
@malton,_ontario@	-location=30
@mindarie@	-location=33
@food_standards_agency@	-organization=124
@i've_got_a_crush_on_you@	-art=56
@chase_field@	-location=95
@wapakoneta,_ohio@	-location=39
@t._graham_brown@	-person=62
@somerset_county,_pennsylvania@	-location=95
@melanesia@	-location=553
@royal_thai_police@	-organization=53
@nikolai_gogol@	-person=433
@assistant_at_the_pontifical_throne@	-title=69
@gmina_piątek@	-location=41
@higglytown_heroes@	-broadcast_program=40
@sv_werder_bremen@	-organization=365
@neil_maskell@	-person=25
@fingathing@	-person=28
@suburban_noize_records@	-organization=69
@dartmouth,_nova_scotia@	-location=155
@jeff_maggert@	-person=22
@pierce_county,_washington@	-location=108
@william_newell@	-person=22
@imagine_entertainment@	-organization=103
@goddess_of_marriage@	-broadcast_program=21
@balfron@	-location=33
@allegan@	-location=57
@finno-ugric@	-people-ethnicity=27
@landtag@	-organization=116
@mca_nashville@	-organization=53
@añasco@	-location=20
@božena_němcová@	-person=43
@goniopholis@	-living_thing=20
@oldham_loop_line@	-location=31
@malheur_county@	-location=89
@can't_get_you_out_of_my_head@	-art=91
@roade@	-location=25
@pat_coombs@	-person=50
@gwyneth_herbert@	-person=25
@genoese@	-location=696 -language=18 -organization=2
@mikhail_anikushin@	-person=20
@frederick_iii,_elector_of_saxony@	-person=32
@hovhannes_tumanyan@	-person=53
@the_jazz_singer@	-art=245
@thomas_sutcliffe_mort@	-person=25
@due_date@	-art=33
@zheng_bo@	-person=76
@miss_universe_1998@	-event=38
@michel_jonasz@	-person=22
@nu_virgos@	-person=29
@sport_club_corinthians_paulista@	-organization=102
@johnny_morris@	-person=71
@haimen@	-location=29 -event=2
@japan_sumo_association@	-organization=283
@charles_lamb@	-person=98
@sivasspor@	-organization=227
@adagio_for_strings@	-art=64
@american_association_of_university_women@	-organization=157
@southern_maryland_blue_crabs@	-organization=56
@sarcopterygii@	-living_thing=23
@freedom_party@	-organization=63
@gaz_metan_mediaș@	-organization=27
@hélio_gracie@	-person=32
@the_go-betweens@	-person=182
@cooper_university_hospital@	-location=23
@a500@	-location=21
@gail_patrick@	-person=68
@olacaceae@	-living_thing=38
@war_in_abkhazia@	-event=34
@medical_investigation@	-broadcast_program=66
@bard_college_conservatory_of_music@	-organization=20
@jean_vallée@	-person=23
@commodores@	-person=149 -organization=13 -product=8 -art=3 -title=3
@william_fox-pitt@	-person=47
@hitler@	-person=735 -art=21 -location=1
@boston_music_awards@	-award=56
@narvel_felts@	-person=22
@southern_chile@	-location=31
@katarzyna_skrzynecka@	-person=23
@pikmin_2@	-product=20
@joey_ryan@	-person=77
@odessa_college@	-organization=39
@gandersheim_abbey@	-location=93
@franklin_county,_indiana@	-location=32
@simple_minds@	-person=551 -art=1
@cass_mccombs@	-person=43
@william_i_of_the_netherlands@	-person=168
@robotics_institute@	-organization=38
@cuyamaca_mountains@	-location=20
@jorma_taccone@	-person=59
@tom_merritt@	-person=29
@nuhu_ribadu@	-person=32
@pinkerton_academy@	-organization=42
@hamilton_crescent@	-location=54
@amauri@	-person=28
@sigue_sigue_sputnik@	-person=87
@tarvisio@	-location=135 -event=1
@54th_academy_awards@	-event=34
@qazvin_province@	-location=1009
@jordan_clarke@	-person=25
@kenneth_harlan@	-person=67
@népstadion@	-location=33
@rhino_bucket@	-person=25
@charlotte_hawkins@	-person=20
@paul_vogt@	-person=25
@kurt_diemberger@	-person=27
@glory_of_love@	-art=27
@bright_lights_film_journal@	-art=30
@léon_blum@	-person=211
@pirmin_zurbriggen@	-person=42
@abraham_foxman@	-person=51
@m._white@	-person=24
@omv@	-organization=82
@second_epistle_to_the_corinthians@	-art=38
@jerry_coyne@	-person=36
@z_notation@	-computer-programming_language=59
@priory_estate@	-location=22
@ivan_stambolić@	-person=33
@kelsang_gyatso@	-person=26
@tumut_river@	-location=23
@koverninsky_district@	-location=25
@joyce@	-person=108 -location=8 -computer-programming_language=4 -organization=4 -event=2
@norman_yardley@	-person=79
@fitchburg_longsjo_classic@	-event=23
@renault_clio@	-product=101
@bill_holland@	-person=25
@banmei_takahashi@	-person=21
@binzhou@	-location=59
@bologna_f.c._1909@	-organization=112
@peters@	-person=68 -organization=11 -location=2
@gardening@	-title=23 -art=1
@matt_taibbi@	-person=54
@ken_hughes@	-person=62
@george_will@	-person=117
@qaleh_ganj_rural_district@	-location=41
@elisa_cegani@	-person=30
@gaia@	-god=258 -location=17 -product=9 -organization=2 -person=2 -broadcast_program=1
@may_31@	-time=237 -location=1
@wolverine@	-living_thing=93 -art=56 -metropolitan_transit-transit_line=24 -location=9 -product=8 -person=4 -organization=2
@nikon_salon@	-location=26
@canada@	-location=73170 -organization=1449 -event=121 -art=29 -people-ethnicity=25 -language=15 -broadcast_network=5 -finance-currency=5 -broadcast_program=4 -product=4 -living_thing=3 -time=2 -person=2 -broadcast-tv_channel=1 -education-educational_degree=1 -food=1 -title=1
@sylvia_massy@	-person=54
@sergio_ortega@	-person=34
@robert_glasper@	-person=69
@linus_gerdemann@	-person=25
@shaun_edwards@	-person=52
@toyotomi_hideyoshi@	-person=772
@enrique_vila-matas@	-person=22
@fdr@	-person=27 -product=1
@reformed_church_of_france@	-religion-religion=49
@moose_jaw_canucks@	-organization=46
@bryant–denny_stadium@	-location=38
@ron_davis@	-person=41
@latrobe@	-location=58 -person=6 -organization=1
@uschi_obermaier@	-person=21
@ante_starčević@	-person=55
@roxy_theater@	-location=28
@mathilda_may@	-person=32
@for_your_eyes_only@	-art=23 -person=3
@galatians@	-art=90 -location=2
@martin_high_school@	-organization=36
@pascal_bruckner@	-person=24
@karyn_parsons@	-person=26
@józef_piłsudski@	-person=579
@new_york_mets_hall_of_fame@	-location=24
@code_geass@	-broadcast_program=161
@jeong_yak-yong@	-person=21
@charles_l._mcnary@	-person=66
@r.c._pro-am@	-product=20
@declaration_of_arbroath@	-event=63
@kawal_wildlife_sanctuary@	-location=36
@george_murray@	-person=75
@wayne_ellington@	-person=64
@huddersfield_choral_society@	-person=25
@saint_ursula@	-person=84
@loredana_bertè@	-person=22
@sean_o'connor@	-person=30
@boom_crash_opera@	-person=40 -art=3
@lake_taupo@	-location=139
@muncy@	-location=63
@everyday_is_like_sunday@	-art=22
@transperth@	-transit=199 -organization=6
@scott_innes@	-person=38
@supreme_director_of_the_united_provinces_of_the_río_de_la_plata@	-title=28
@jakob_dylan@	-person=110
@plumbago@	-living_thing=18 -visual_art-color=4
@ranil_wickremasinghe@	-person=57
@oebisfelde@	-location=24
@gomal_university@	-organization=24
@californio@	-people-ethnicity=172
@galen_gering@	-person=35
@luis_barragán@	-person=64
@pasym@	-location=27
@jean_negulesco@	-person=91
@alaska_aces@	-organization=334
@drums@	-title=86 -product=10 -living_thing=4 -location=3 -art=1
@lapeer@	-location=75
@tunein@	-organization=21
@dorado,_puerto_rico@	-location=29
@empress_shōken@	-person=24
@algemeen_handelsblad@	-art=22
@kidderpore@	-location=29
@kurt_becker@	-person=20
@andrea_della_robbia@	-person=52
@26_men@	-broadcast_program=43
@new_brunswick_new_democratic_party@	-organization=38
@arabian_nights@	-art=89 -product=3 -broadcast_program=2
@kimito@	-location=23
@kutchi@	-language=61
@in_the_time_of_the_butterflies@	-art=31
@rufus_king@	-person=107
@academy_of_st_martin_in_the_fields@	-person=75
@nera_river@	-location=47
@kayin_state@	-location=74
@mitsubishi_minicab@	-product=21
@cirque_of_the_towers@	-location=21
@i_was_monty's_double@	-art=21
@politically_incorrect@	-broadcast_program=126
@przasnysz@	-location=194
@occoquan_river@	-location=40
@second_battle_of_bapaume@	-event=37
@jimmy_briand@	-person=22
@dan_reeves@	-person=112
@harold_coyle@	-person=29
@anchors_aweigh@	-art=103
@perfect_stranger@	-art=42 -person=10
@diablo_canyon_power_plant@	-location=40
@riccardo_scamarcio@	-person=26
@yilan_city@	-location=21
@ricky_walden@	-person=85
@lovell_coleman@	-person=21
@wedding_peach@	-art=53
@fc_ska-energiya_khabarovsk@	-organization=51
@tim_rice-oxley@	-person=82
@mexican–american_war@	-event=565
@james_laurinaitis@	-person=44
@daventry@	-location=226
@cranford@	-location=82 -broadcast_program=62 -art=26
@penshurst@	-location=36 -product=1
@jonny_greenwood@	-person=205
@charles_stewart_parnell@	-person=346
@u.s._route_219@	-location=88
@an_account_of_the_lives_and_works_of_the_most_eminent_spanish_painters,_sculptors_and_architects@	-art=21
@university_of_otago@	-organization=635
@hamilton_west@	-location=96
@new_york_wrestling_connection@	-organization=44
@suze_orman@	-person=52
@mount_gerizim@	-location=70
@peter_ruzicka@	-person=20
@sufi@	-religion-religion=313 -art=4
@odas@	-organization=602
@john_hawkesworth@	-person=27
@jim_field_smith@	-person=21
@tony_harris@	-person=55
@dassault_rafale@	-product=94
@nakajima_b6n@	-product=20
@paul_delaroche@	-person=86
@c._c._young@	-person=21
@p._g._t._beauregard@	-person=96
@baranów_sandomierski@	-location=39
@sponsorship_scandal@	-event=27
@charles_webster@	-person=31
@army_of_africa@	-organization=36
@mostly_mozart_festival@	-event=42
@tōhoku_expressway@	-location=57
@vals-les-bains@	-location=21
@pirate_party@	-organization=30
@charles_edison@	-person=30
@nikos_karvelas@	-person=135
@luganda@	-language=86
@st_patrick's_cathedral,_dublin@	-location=89
@doc_holliday@	-person=209
@lúcia_santos@	-person=21
@hufvudstadsbladet@	-art=29
@toby_harrah@	-person=30
@michael_knowles@	-person=31
@charlotte_riley@	-person=25
@antonio_da_sangallo_the_elder@	-person=21
@rafael_dos_anjos@	-person=28
@sidi_barrani@	-location=81 -event=2
@jah_shaka@	-person=29
@pistons@	-organization=27
@addison_timlin@	-person=21
@david_besnard@	-person=27
@hebron,_connecticut@	-location=24
@phoenix_film_festival@	-event=37
@bank_of_queensland@	-organization=20
@dougie_poynter@	-person=48
@howard_beach,_queens@	-location=29
@train_station@	-location=100
@altered_images@	-person=68
@kai-fu_lee@	-person=22
@juan_de_zumárraga@	-person=41
@daniel_neal@	-person=30
@amphitrite@	-god=75 -product=6
@roary_the_racing_car@	-broadcast_program=45
@kennedy_mckinney@	-person=24
@the_buckinghams@	-person=66
@abra_moore@	-person=26
@bristol_beaufighter@	-product=271
@james_bulger@	-event=24
@samuel_gurney@	-person=31
@sergey_lagutin@	-person=22
@hanmer@	-location=20
@number_one_observatory_circle@	-location=20
@atlético_paranaense@	-organization=226
@bulgarian_national_television@	-broadcast_network=81
@asom_gana_parishad@	-organization=60
@i-80@	-location=160
@peachtree_street@	-location=138
@john_mcentire@	-person=80
@weissenburg@	-location=15 -event=6
@royal_naval_reserve@	-organization=272
@anthropologist@	-title=53
@fort_garland@	-location=20
@david_ricardo@	-person=256
@riffian@	-people-ethnicity=12 -language=11 -location=8
@juice@	-art=67 -food=13 -person=12 -product=1
@william_gott@	-person=30
@peter_dowding@	-person=34
@fiji_labour_party@	-organization=199
@maryport_and_carlisle_railway@	-organization=41
@toronto,_canada@	-location=30
@phantom_blood@	-art=20
@innishannon@	-location=25
@detroit_shock@	-organization=302
@chris_powell@	-person=38
@alonso_mudarra@	-person=21
@xu_yifan@	-person=20
@bogotazo@	-event=26
@fitch_ratings@	-organization=80
@emile_berliner@	-person=66
@lou_rowan@	-person=20
@gallatin@	-location=120 -product=1
@terry_hands@	-person=50
@stoneleigh_abbey@	-location=23
@universal_music_group@	-organization=1225
@war_resisters_league@	-organization=64
@coo@	-title=166
@andal@	-person=67 -location=33
@keyboards@	-product=5735 -title=36
@knut_johannesen@	-person=30
@bobby_byrd@	-person=115 -art=1
@instow@	-location=42
@jewelled@	-product=39 -art=1
@john_dramani_mahama@	-person=57
@alan_cranston@	-person=105
@henry_percy@	-person=25
@zhang_changzong@	-person=47
@máximo_gómez@	-person=35 -location=2
@seattle_storm@	-organization=347
@silang@	-location=43
@thomas_swann@	-person=24
@road_rash@	-product=29
@masato_nakamura@	-person=23
@uta@	-organization=19 -person=3 -living_thing=3 -event=1 -location=1
@thescelosaurus@	-living_thing=22
@louisiana_bayou_beast@	-organization=43
@nicole_provis@	-person=26
@jacqueline_rayner@	-person=34
@vista_hermosa@	-organization=56 -location=2
@gudbrandsdalslågen@	-location=38
@christian_broadcasting_network@	-broadcast_network=189
@jessica_watson@	-person=20
@martin_indyk@	-person=23
@gmina_trzemeszno@	-location=42
@michael_nouri@	-person=88
@william_robinson@	-person=100
@annie_potts@	-person=98
@alfred_nobel@	-person=216
@maurizio_arena@	-person=34
@st_cyprian's_school@	-organization=50
@slovakian@	-location=26 -language=12 -people-ethnicity=3
@old_street@	-location=68
@joseph_warren@	-person=102
@south_auckland@	-location=64 -organization=28
@kandahar_international_airport@	-location=54
@bimini@	-location=83
@don't_go@	-art=34
@once_upon_a_time_in_mexico@	-art=79
@johnny_keane@	-person=32
@the_viper_room@	-location=53
@rakvere@	-location=116 -event=1
@international_wheelchair_basketball_federation@	-organization=38
@olaria@	-organization=29
@queensboro_bridge@	-location=92
@touch_and_go@	-organization=44 -art=18 -person=13
@captain_nemo_and_the_underwater_city@	-art=24
@kita@	-location=66 -person=4 -organization=1
@the_tom_and_jerry_show@	-broadcast_program=25
@villeneuve-sur-lot@	-location=40 -organization=1
@brigid_brophy@	-person=24
@primitive@	-art=19 -religion-religion=1
@iowa_state@	-organization=272 -location=1 -living_thing=1
@olympia_brown@	-person=29
@pennsylvania_route_42@	-location=21
@charles_francis_richter@	-person=22
@general_conference@	-event=226 -organization=52 -religion-religion=1
@ralph_firman@	-person=38
@parish_councils@	-location=30
@john_paul,_jr.@	-person=35
@gothic@	-language=283 -people-ethnicity=216 -art=21 -product=8 -event=5 -organization=4 -location=1 -god=1 -living_thing=1
@württemberg@	-location=157 -organization=4 -person=2
@dixie_dean@	-person=117
@stop@	-art=48 -location=18 -living_thing=2
@diego@	-person=78 -broadcast_program=1
@as_cannes@	-organization=193
@willet@	-living_thing=108 -location=6
@philippine_government@	-organization=17 -location=4
@bonanza_air_lines@	-organization=30
@jim_cawley@	-person=21
@ludwig_south-north_railway@	-location=53
@the_wicked_lady@	-art=40
@department_of_natural_resources@	-organization=25 -location=1
@photobucket@	-internet-website=28
@pa_23@	-location=28
@st._louis@	-location=2337 -organization=184 -person=24 -event=12 -product=9 -art=1
@signs_of_life@	-art=37 -person=1
@the_culinary_institute_of_america@	-organization=29
@non-central@	-event=39
@banu_qasi@	-location=65
@john_biffen@	-person=44
@irwindale,_california@	-location=26
@dena'ina@	-language=21 -people-ethnicity=2
@ackerman@	-location=21
@sr_67@	-location=22
@e._b._white@	-person=113
@kati_outinen@	-person=21
@longueval@	-location=24
@vincent_kompany@	-person=54
@stephen_f._austin@	-person=272 -organization=48
@escape_velocity@	-product=19 -art=9
@don_watson@	-person=21
@robin_hood@	-art=234 -broadcast_program=145 -location=7 -person=1
@jim_blinn@	-person=22
@gmc@	-organization=25 -product=2
@scion@	-art=22 -product=6 -organization=5
@eric_schneiderman@	-person=36
@robert_hays@	-person=85
@bad_segeberg@	-location=47
@paul_goldsmith@	-person=30
@cinemax@	-broadcast_network=257 -organization=7 -broadcast-tv_channel=2
@bright_future@	-organization=17 -art=15
@1982_season@	-event=100
@fox_kids@	-broadcast_network=342 -broadcast-tv_channel=1
@yarnton@	-location=30
@valašské_meziříčí@	-location=45
@4.3.2.1@	-art=21
@andre_williams@	-person=84
@physics@	-art=72 -person=8 -organization=3
@fort_george_g._meade@	-location=88
@asian_festival_of_first_films@	-event=26
@kraft_foods@	-organization=423
@judith_hoag@	-person=25
@chandauli@	-location=28
@gush_etzion_regional_council@	-organization=25
@drohobych@	-location=94
@wen_zhengming@	-person=37
@melbourn@	-location=32 -organization=2
@1991_local_elections@	-event=21
@deen_castronovo@	-person=77
@goliad@	-location=71 -event=2
@1914@	-event=136 -art=3 -product=1
@rusk,_texas@	-location=26
@len_brown@	-person=52
@marguerite_de_la_motte@	-person=30
@brahma_sutras@	-art=68
@lady_antebellum@	-person=314 -art=2
@wesley_eisold@	-person=22
@sometimes_you_can't_make_it_on_your_own@	-art=22
@kinks@	-person=27 -art=10
@cannon_river@	-location=34
@department_of_public_works_and_highways@	-organization=22
@yves_saint_laurent@	-organization=220 -person=132 -art=3
@mahogany@	-art=16 -living_thing=15 -visual_art-color=1
@rachel_boston@	-person=33
@sunday_independent@	-art=180
@atlético_olanchano@	-organization=39
@atlanta_symphony_orchestra_&_chorus@	-organization=29
@vj_day@	-time=20
@andrea_barber@	-person=21
@hugh_i_of_cyprus@	-person=32
@shoeburyness@	-location=83
@samson@	-person=351 -art=41 -location=23 -organization=2
@dong_yi@	-broadcast_program=42 -person=3
@emperor_guangwu_of_han@	-person=48
@rikidōzan@	-person=38 -art=1
@sir_david_attenborough@	-person=65
@fred_astaire@	-person=964
@the_steve_harvey_show@	-broadcast_program=118 -person=1
@evgeni_nabokov@	-person=84
@machine_head@	-person=377 -art=71
@kobe_bryant@	-person=738
@juan_aurich@	-organization=128
@boundary_waters@	-location=37
@south_australia@	-organization=201 -location=5 -art=4 -title=1 -event=1
@george_russell@	-person=190
@joan_hammond@	-person=39
@catatonia@	-person=85 -disease=18
@isle_of_man@	-location=3211 -event=4 -organization=2 -language=1 -location=1 -finance-currency=1
@george_calombaris@	-person=20
@larry_parrish@	-person=36
@south_american_championship@	-event=54 -organization=1
@riviera@	-location=42 -product=23 -organization=1
@the_beach@	-art=94 -location=4
@pakistan@	-location=24688 -organization=255 -people-ethnicity=13 -title=5 -event=2 -finance-currency=2 -broadcast_program=1 -religion-religion=1 -broadcast_network=1 -time=1
@parliamentarians_for_global_action@	-organization=21
@encyclopædia_britannica@	-art=1257 -organization=1
@german-born@	-location=42 -people-ethnicity=9
@madman@	-art=37 -organization=4 -disease=3
@nam@	-organization=107 -event=6 -chemistry=1 -location=1
@fih@	-organization=52
@virtua_racing@	-product=31
@andrew_mcgahan@	-person=26
@sylvia_lance_harper@	-person=20
@passione@	-broadcast_program=10 -art=9 -location=2
@noël_gallon@	-person=22
@mikhail_bakhtin@	-person=101
@wickard_v._filburn@	-event=21
@cedarville@	-location=69 -organization=3 -product=1
@b._r._ambedkar@	-person=124
@95th_street@	-location=29
@kampot@	-location=27 -food=1
@koneswaram_temple@	-location=41
@bluefields@	-location=100 -organization=1
@glocester,_rhode_island@	-location=20
@mel_bridgman@	-person=26
@ms._dynamite@	-person=93
@louisiana_(new_france)@	-location=20
@puru@	-person=28 -people-ethnicity=1
@maker@	-location=19 -art=3 -title=2 -god=2 -event=1
@@	-location=109 -organization=82 -person=67 -art=28 -event=22 -product=18 -internet-website=15 -title=10 -broadcast_program=8 -people-ethnicity=6 -broadcast_network=5 -finance-currency=4 -living_thing=4 -disease=2 -body_part=2 -religion-religion=2 -language=2 -education-educational_degree=1 -food=1
@central_pacific@	-location=22 -organization=9 -event=3 -language=1
@adelphi@	-location=73 -organization=39 -art=4 -person=3
@gimpo_international_airport@	-location=54
@stuart_barnes@	-person=25
@one_way_out@	-art=17 -broadcast_program=5
@wolverton@	-location=72
@condon@	-location=27 -person=3
@helen_ware@	-person=30
@hanwha_eagles@	-organization=85
@391@	-metropolitan_transit-transit_line=13 -art=8 -location=1
@academia_brasileira_de_letras@	-organization=47
@hinduism@	-religion-religion=2792 -people-ethnicity=1
@liam_fox@	-person=98
@crown_of_creation@	-art=22 -person=7
@norfolk@	-location=1348 -organization=381 -product=32 -person=14 -event=2 -language=2 -title=1 -living_thing=1
@gary_stewart@	-person=51
@hainaut@	-location=189 -title=6
@dominican@	-organization=1317 -location=579 -people-ethnicity=27 -person=1
@garrick_ohlsson@	-person=41
@rankin_county@	-location=40
@oregon_country@	-location=411
@gilbert_murray@	-person=95
@the_playboy_of_the_western_world@	-art=116
@columbia_county,_georgia@	-location=25
@shuttleworth_foundation@	-organization=20 -person=1
@route_37@	-location=41 -metropolitan_transit-transit_line=2
@kumar_gaurav@	-person=49
@a_question_of_balance@	-art=22
@james_piers_st_aubyn@	-person=30
@fifteenth_amendment@	-law=96
@chris_adcock@	-person=44
@soviet_championship@	-event=20 -organization=19
@faber@	-organization=74 -person=2 -food=1 -location=1
@donald_kennedy@	-person=22
@singing_the_blues@	-art=24
@lisbon@	-location=6631 -organization=11 -art=10 -event=3 -transit=1
@tucson_air_national_guard_base@	-location=23
@gilles_ménage@	-person=30
@topic@	-organization=13 -location=4 -event=2 -product=2 -person=2 -food=1 -title=1 -art=1
@charles_piazzi_smyth@	-person=35
@caulfield@	-location=101 -organization=34 -event=11
@demetrias@	-location=23 -person=6 -event=2
@craig_kieswetter@	-person=46
@luke_halpin@	-person=21
@vines@	-living_thing=11 -person=6 -food=2 -product=1 -organization=1
@sierra_madre_occidental@	-location=275
@waldeck-frankenberg@	-location=45
@chelsea@	-organization=4354 -location=1336 -person=55 -art=14
@peter_lundgren@	-person=44
@edward_hall@	-person=86
@weslaco,_texas@	-location=21
@devi_sri_prasad@	-person=182
@gordon_wilson@	-person=51
@ellis_county@	-location=122
@kheda_district@	-location=26
@garry_unger@	-person=30
@doha@	-location=1810 -event=21
@little_red@	-person=21 -art=11 -location=1
@hyde_park,_london@	-location=153 -event=1
@vlc_media_player@	-product=108
@ellef_ringnes_island@	-location=24
@pass_cavallo@	-location=20
@saint_paul_university@	-organization=31
@macau@	-location=194 -organization=43
@eugene_volokh@	-person=34
@bucks@	-location=97 -organization=23 -living_thing=3
@doe_river@	-location=22
@minister_of_state_for_foreign_affairs@	-title=37
@childebert_ii@	-person=70
@2012_juno_awards@	-event=25
@w._yvon_dumont@	-person=27
@mahoromatic@	-broadcast_program=50
@magadh_university@	-organization=25
@keane@	-person=447 -organization=9
@alpha_epsilon_pi@	-organization=127
@union_of_christian_and_centre_democrats@	-organization=130
@nigel_adkins@	-person=43
@run_for_your_life@	-broadcast_program=58 -art=32
@omaha_storm_chasers@	-organization=65
@pedro_martínez@	-person=215
@the_matrix_revolutions@	-art=144
@jessica_chastain@	-person=174
